network,nullpair_distance_from_member_mean_subspace,initial_node_error
toy_0,1.0000000000000002,0.0
toy_1,1.0,0.0
toy_2,1.0000000000000002,0.0
network_001,1.0000000000000002,1.2375055290054532e-16
network_002,1.0,9.308518130484185e-17
network_003,0.9999999999999998,3.2153459076116526e-16
network_004,1.0,1.2836367653621578e-16
network_005,1.0,4.943908647192943e-16
network_006,1.0,5.499759125418019e-17
network_007,1.0,2.02849561625516e-16
network_008,0.9999999999999998,1.163978769949585e-16
network_009,1.0,1.2847791169259702e-16
network_010,1.0,1.9625389071864693e-16
network_011,1.0,1.0887722108402814e-16
network_012,1.0,1.708944763510792e-16
network_013,0.9999999999999999,7.4177461767812e-17
network_014,1.0,4.764818767989152e-17
network_015,1.0,1.560070105982714e-16
network_016,0.9999999999999997,6.825821698356452e-17
network_017,1.0,8.400880908119625e-17
network_018,1.0,1.0912387145497922e-16
network_019,1.0,6.574235795211019e-17
network_020,1.0,8.772796939234192e-17
network_021,1.0,2.251066911403369e-16
network_022,0.9999999999999998,1.6751762133941067e-16
network_023,1.0,7.524350188467868e-16
network_024,1.0,1.4059824081336194e-16
network_025,1.0,7.372064542458735e-17
network_026,1.0000000000000002,5.412949246047952e-17
network_027,1.0000000000000002,7.91068706931835e-17
network_028,1.0,8.92750792644355e-17
network_029,1.0,1.7909667867199462e-16
network_030,1.0,6.776254904411472e-17
network_031,1.0,6.02675991266684e-17
network_032,1.0000000000000002,1.0895514402453064e-16
network_033,0.9999999999999999,1.444176828792846e-16
network_034,1.0000000000000002,1.3530287100081102e-16
network_035,0.9999999999999999,1.6709268584393126e-16
network_036,0.9999999999999998,2.1641696531144493e-16
network_037,1.0,1.3974369241978163e-16
network_038,1.0,1.1030167981748393e-16
network_039,1.0,1.6028659523075548e-16
network_040,1.0,9.31313888933441e-17
network_041,1.0,1.701228949666138e-16
network_042,1.0,1.1284727050598125e-16
network_043,1.0000000000000002,1.25152815093536e-16
network_044,0.9999999999999998,2.236919027761418e-16
network_045,1.0,1.9141791241147513e-16
network_046,1.0000000000000002,1.9599438177891007e-16
network_047,0.9999999999999998,1.9508313341760255e-16
network_048,0.9999999999999999,2.5988884679105305e-16
network_049,0.9999999999999999,8.219825697318878e-17
network_050,1.0,1.812931278542665e-16
network_051,1.0000000000000002,2.453100798619399e-16
network_052,1.0000000000000002,8.517827899395062e-17
network_053,1.0000000000000002,5.570652496875503e-17
network_054,1.0,8.692840666218376e-17
network_055,1.0,5.739271077497717e-17
network_056,1.0,8.51757948856657e-17
network_057,1.0,2.4709307659789557e-16
network_058,1.0000000000000002,4.8514140299405666e-17
network_059,1.0,6.166137139888458e-17
network_060,0.9999999999999998,1.0549771842405668e-16
network_061,1.0,7.728855929254424e-17
network_062,1.0,1.2535702868201927e-16
network_063,1.0,6.372010300751441e-17
network_064,1.0,1.0202106243281758e-16
network_065,1.0000000000000002,3.168470061908716e-16
network_066,1.0,1.4289899798527764e-16
network_067,1.0,1.4556030956578752e-16
network_068,1.0,6.63021320462856e-17
network_069,1.0,1.554460095193921e-16
network_070,0.9999999999999999,1.114772856575326e-16
network_071,1.0000000000000002,2.911352356940869e-16
network_072,0.9999999999999999,4.225774459458471e-17
network_073,1.0000000000000002,1.237138817061461e-16
network_074,1.0,4.0981350597758873e-16
network_075,1.0,1.785812301933121e-16
network_076,0.9999999999999999,6.770423717108498e-17
network_077,1.0,9.031918199648629e-17
network_078,1.0,1.6556388430632738e-16
network_079,1.0,2.9701789258407953e-16
network_080,1.0000000000000002,6.697561841828624e-17
network_081,1.0,4.69850742124972e-16
network_082,1.0,9.490058218201827e-17
network_083,1.0,1.0052670858795503e-16
network_084,1.0000000000000002,2.5451414493746597e-16
network_085,1.0,1.1387158172519847e-16
network_086,0.9999999999999999,1.4131476309663266e-16
network_087,1.0,2.3232992910296855e-16
network_088,0.9999999999999998,9.783733713820073e-17
network_089,1.0000000000000002,9.676332798492283e-17
network_090,1.0,1.4483642520488535e-16
network_091,1.0000000000000002,8.160791606835576e-16
network_092,1.0000000000000002,1.871698502455621e-16
network_093,1.0,4.7237826722777444e-17
network_094,0.9999999999999998,1.1980900056657312e-16
network_095,1.0,1.392056058406343e-16
network_096,1.0,1.2250716948280404e-16
network_097,1.0,1.1176695626975564e-16
network_098,0.9999999999999998,1.190025362012188e-16
network_099,1.0,1.440192723231347e-16
network_100,1.0,7.987031227302455e-17
