network,family,is_toy,variant,projection,residual,exact_expected,analytic_error,dimension,rank,observed_closed,nonzero_spectrum_condition
toy_0,Triangle,True,Coverage,Node,5.284086833789234e-16,True,1.4672724999285447e-16,3,3,True,2.3094010767585043
toy_0,Triangle,True,Coverage,Node + order,1.266435457552073e-16,False,,6,4,True,2.0000000000000004
toy_0,Triangle,True,Coverage,Node + order + degree,1.266435457552073e-16,False,,6,4,True,2.0000000000000004
toy_0,Triangle,True,Constant bias,Node,0.13149549909567534,False,,3,3,False,2.3094010767585043
toy_0,Triangle,True,Constant bias,Node + order,1.1124324258644364e-16,True,2.1401742849787423e-16,6,4,True,2.0000000000000004
toy_0,Triangle,True,Constant bias,Node + order + degree,1.1124324258644364e-16,False,,6,4,True,2.0000000000000004
toy_0,Triangle,True,Full DMWA,Node,0.13149549909567534,False,,3,3,False,2.3094010767585043
toy_0,Triangle,True,Full DMWA,Node + order,1.1124324258644364e-16,False,,6,4,True,2.0000000000000004
toy_0,Triangle,True,Full DMWA,Node + order + degree,1.1124324258644364e-16,True,2.1401742849787423e-16,6,4,True,2.0000000000000004
toy_1,Triangle + branches,True,Coverage,Node,4.786740146283212e-16,True,1.311001985355036e-16,5,5,True,4.470409586796749
toy_1,Triangle + branches,True,Coverage,Node + order,2.8653929558159795e-16,False,,10,6,True,4.087187608076544
toy_1,Triangle + branches,True,Coverage,Node + order + degree,1.5541878203198763e-16,False,,20,6,True,1.7320508075688772
toy_1,Triangle + branches,True,Constant bias,Node,0.15240771624629623,False,,5,5,False,4.470409586796749
toy_1,Triangle + branches,True,Constant bias,Node + order,2.446972535309478e-16,True,0.0,10,6,True,4.087187608076544
toy_1,Triangle + branches,True,Constant bias,Node + order + degree,1.4374403184009457e-16,False,,20,6,True,1.7320508075688772
toy_1,Triangle + branches,True,Full DMWA,Node,0.15591879270265624,False,,5,5,False,4.470409586796749
toy_1,Triangle + branches,True,Full DMWA,Node + order,2.4057644562042594e-16,False,,10,6,True,4.087187608076544
toy_1,Triangle + branches,True,Full DMWA,Node + order + degree,1.4746264786208491e-16,True,0.0,20,6,True,1.7320508075688772
toy_2,Double triangle,True,Coverage,Node,3.43456632443829e-16,True,1.6651544910388423e-16,4,4,True,3.0978462986441673
toy_2,Double triangle,True,Coverage,Node + order,4.371573452003247e-16,False,,8,6,True,3.4323684169061055
toy_2,Double triangle,True,Coverage,Node + order + degree,2.0814903048308887e-16,False,,12,6,True,3.0
toy_2,Double triangle,True,Constant bias,Node,0.08705204927872066,False,,4,4,False,3.0978462986441673
toy_2,Double triangle,True,Constant bias,Node + order,2.9614784878412897e-16,True,1.4843992979531368e-16,8,6,True,3.4323684169061055
toy_2,Double triangle,True,Constant bias,Node + order + degree,2.0769822023247867e-16,False,,12,6,True,3.0
toy_2,Double triangle,True,Full DMWA,Node,0.08916306543695386,False,,4,4,False,3.0978462986441673
toy_2,Double triangle,True,Full DMWA,Node + order,3.18159323404854e-16,False,,8,6,True,3.4323684169061055
toy_2,Double triangle,True,Full DMWA,Node + order + degree,2.076125390286475e-16,True,4.405402909931196e-17,12,6,True,3.0
network_001,Random,False,Coverage,Node,8.708420239646481e-16,True,1.248000670723033e-16,12,12,True,3.7215515736111664
network_001,Random,False,Coverage,Node + order,1.1992891591792673e-15,False,,24,19,True,7.367688889452167
network_001,Random,False,Coverage,Node + order + degree,4.932838777497739e-16,False,,204,29,True,2.771638597533861
network_001,Random,False,Constant bias,Node,0.0890010394426004,False,,12,12,False,3.7215515736111664
network_001,Random,False,Constant bias,Node + order,1.2914047236375642e-15,True,1.2870740469553783e-16,24,19,True,7.367688889452167
