network,group,members,size,degree
toy_0,0,0;1,2,3
toy_0,1,0;2,2,3
toy_0,2,1;2,2,3
toy_0,3,0;1;2,3,3
toy_1,0,0;1,2,5
toy_1,1,0;2,2,5
toy_1,2,0;3,2,4
toy_1,3,0;4,2,4
toy_1,4,1;2,2,3
toy_1,5,0;1;2,3,5
toy_2,0,0;1,2,5
toy_2,1,0;2,2,5
toy_2,2,1;2,2,6
toy_2,3,1;3,2,5
toy_2,4,2;3,2,5
toy_2,5,0;1;2,3,6
toy_2,6,1;2;3,3,6
network_001,0,0;1,2,8
network_001,1,0;11,2,3
network_001,2,1;2,2,10
network_001,3,1;3,2,11
network_001,4,1;7,2,13
network_001,5,1;9,2,14
network_001,6,2;3,2,9
network_001,7,2;7,2,12
network_001,8,2;10,2,9
network_001,9,3;4,2,7
network_001,10,3;5,2,7
network_001,11,4;5,2,5
network_001,12,4;11,2,5
network_001,13,5;6,2,6
network_001,14,6;7,2,10
network_001,15,6;9,2,10
network_001,16,7;8,2,11
network_001,17,7;9,2,13
network_001,18,8;9,2,10
network_001,19,8;10,2,7
network_001,20,9;10,2,11
network_001,21,10;11,2,6
network_001,22,1;2;3,3,13
network_001,23,1;2;7,3,15
network_001,24,1;7;9,3,17
network_001,25,3;4;5,3,8
network_001,26,6;7;9,3,14
network_001,27,7;8;9,3,14
network_001,28,8;9;10,3,12
network_002,0,0;1,2,22
network_002,1,0;2,2,16
network_002,2,0;3,2,19
network_002,3,0;4,2,16
network_002,4,0;7,2,15
network_002,5,0;8,2,17
network_002,6,0;11,2,14
network_002,7,1;2,2,15
network_002,8,1;3,2,18
network_002,9,1;5,2,14
network_002,10,1;6,2,15
network_002,11,1;8,2,18
network_002,12,1;10,2,14
network_002,13,2;3,2,12
network_002,14,3;4,2,13
network_002,15,3;6,2,13
network_002,16,4;5,2,8
network_002,17,4;8,2,11
network_002,18,5;6,2,7
network_002,19,6;7,2,8
network_002,20,7;8,2,9
network_002,21,8;9,2,8
network_002,22,9;10,2,3
network_002,23,10;11,2,3
network_002,24,0;1;2,3,23
network_002,25,0;1;3,3,25
network_002,26,0;1;8,3,25
network_002,27,0;2;3,3,20
network_002,28,0;3;4,3,21
network_002,29,0;4;8,3,19
network_002,30,0;7;8,3,18
network_002,31,1;2;3,3,19
network_002,32,1;3;6,3,20
network_002,33,1;5;6,3,16
network_003,0,0;1,2,6
network_003,1,0;3,2,8
network_003,2,0;11,2,5
network_003,3,1;2,2,8
network_003,4,1;3,2,8
network_003,5,2;3,2,9
network_003,6,2;4,2,9
network_003,7,2;9,2,7
network_003,8,3;4,2,10
network_003,9,4;5,2,8
network_003,10,4;6,2,8
network_003,11,5;6,2,6
network_003,12,5;7,2,6
network_003,13,6;7,2,6
network_003,14,7;8,2,5
network_003,15,8;9,2,4
network_003,16,8;11,2,4
network_003,17,9;10,2,3
network_003,18,10;11,2,3
network_003,19,0;1;3,3,9
network_003,20,1;2;3,3,10
network_003,21,2;3;4,3,12
network_003,22,4;5;6,3,9
network_003,23,5;6;7,3,7
network_004,0,0;1,2,10
network_004,1,0;6,2,4
network_004,2,0;11,2,6
network_004,3,1;2,2,17
network_004,4,1;8,2,14
network_004,5,1;9,2,16
network_004,6,1;10,2,11
network_004,7,2;3,2,15
network_004,8,2;5,2,17
network_004,9,2;8,2,17
network_004,10,2;9,2,19
network_004,11,2;11,2,14
network_004,12,3;4,2,7
network_004,13,3;5,2,12
network_004,14,3;10,2,9
network_004,15,4;5,2,11
network_004,16,4;8,2,11
network_004,17,5;6,2,11
network_004,18,5;9,2,19
network_004,19,5;11,2,12
network_004,20,6;7,2,5
network_004,21,7;8,2,10
network_004,22,7;9,2,13
network_004,23,8;9,2,16
network_004,24,9;10,2,14
network_004,25,10;11,2,8
network_004,26,1;2;8,3,21
network_004,27,1;2;9,3,22
network_004,28,1;8;9,3,19
network_004,29,1;9;10,3,18
network_004,30,2;3;5,3,19
network_004,31,2;5;9,3,24
network_004,32,2;5;11,3,19
network_004,33,2;8;9,3,22
network_004,34,3;4;5,3,13
network_004,35,7;8;9,3,17
network_005,0,0;1,2,8
network_005,1,0;2,2,5
network_005,2,0;11,2,5
network_005,3,1;2,2,8
network_005,4,1;4,2,11
network_005,5,1;5,2,9
network_005,6,1;9,2,12
network_005,7,2;3,2,10
network_005,8,3;4,2,12
network_005,9,3;6,2,11
network_005,10,3;7,2,12
network_005,11,3;9,2,12
network_005,12,4;5,2,8
network_005,13,4;6,2,10
network_005,14,5;6,2,9
network_005,15,6;7,2,12
network_005,16,7;8,2,8
network_005,17,7;9,2,11
network_005,18,7;11,2,9
network_005,19,8;9,2,7
network_005,20,9;10,2,7
network_005,21,10;11,2,3
network_005,22,0;1;2,3,9
network_005,23,1;4;5,3,12
network_005,24,3;4;6,3,14
network_005,25,3;6;7,3,15
network_005,26,3;7;9,3,15
network_005,27,4;5;6,3,11
network_005,28,7;8;9,3,11
network_006,0,0;1,2,10
network_006,1,0;2,2,11
network_006,2,0;3,2,12
network_006,3,0;9,2,11
network_006,4,0;11,2,11
network_006,5,1;2,2,9
network_006,6,1;3,2,10
network_006,7,2;3,2,11
network_006,8,2;5,2,12
network_006,9,3;4,2,10
network_006,10,3;6,2,11
network_006,11,4;5,2,8
network_006,12,4;7,2,7
network_006,13,5;6,2,9
network_006,14,5;7,2,9
network_006,15,5;9,2,10
network_006,16,6;7,2,8
network_006,17,6;11,2,8
network_006,18,7;8,2,10
network_006,19,8;9,2,8
network_006,20,8;10,2,7
network_006,21,8;11,2,8
network_006,22,9;10,2,7
network_006,23,10;11,2,7
network_006,24,0;1;2,3,12
network_006,25,0;1;3,3,13
network_006,26,0;2;3,3,14
network_006,27,1;2;3,3,12
network_006,28,4;5;7,3,10
network_006,29,5;6;7,3,11
network_006,30,8;9;10,3,9
network_006,31,8;10;11,3,9
network_007,0,0;1,2,7
network_007,1,0;9,2,10
network_007,2,0;10,2,11
network_007,3,0;11,2,13
network_007,4,1;2,2,3
network_007,5,2;3,2,4
network_007,6,2;11,2,11
network_007,7,3;4,2,3
network_007,8,3;6,2,6
network_007,9,4;5,2,5
network_007,10,5;6,2,8
network_007,11,5;10,2,10
network_007,12,5;11,2,12
network_007,13,6;7,2,6
network_007,14,6;8,2,6
network_007,15,7;8,2,5
network_007,16,7;11,2,12
network_007,17,8;9,2,9
network_007,18,9;10,2,11
network_007,19,9;11,2,13
network_007,20,10;11,2,13
network_007,21,0;9;10,3,13
network_007,22,0;9;11,3,15
network_007,23,0;10;11,3,15
network_007,24,5;10;11,3,15
network_007,25,6;7;8,3,7
network_007,26,9;10;11,3,15
network_008,0,0;1,2,14
network_008,1,0;2,2,15
network_008,2,0;3,2,16
network_008,3,0;4,2,13
network_008,4,0;9,2,12
network_008,5,0;11,2,12
network_008,6,1;2,2,11
network_008,7,1;3,2,13
network_008,8,1;5,2,8
network_008,9,2;3,2,13
network_008,10,2;8,2,10
network_008,11,3;4,2,13
network_008,12,3;8,2,12
network_008,13,4;5,2,7
network_008,14,4;11,2,7
network_008,15,5;6,2,3
network_008,16,6;7,2,2
network_008,17,7;8,2,5
network_008,18,8;9,2,6
network_008,19,9;10,2,3
network_008,20,10;11,2,4
network_008,21,0;1;2,3,17
network_008,22,0;1;3,3,18
network_008,23,0;2;3,3,18
network_008,24,0;3;4,3,18
network_008,25,0;4;11,3,14
network_008,26,1;2;3,3,15
network_008,27,2;3;8,3,15
network_009,0,0;1,2,2
network_009,1,0;11,2,7
network_009,2,1;2,2,4
network_009,3,2;3,2,4
network_009,4,2;4,2,10
network_009,5,3;4,2,9
network_009,6,4;5,2,11
network_009,7,4;6,2,11
network_009,8,4;7,2,12
network_009,9,5;6,2,8
network_009,10,5;7,2,9
network_009,11,6;7,2,9
network_009,12,7;8,2,12
network_009,13,8;9,2,9
network_009,14,8;10,2,9
network_009,15,8;11,2,10
network_009,16,9;10,2,8
network_009,17,9;11,2,9
network_009,18,10;11,2,9
network_009,19,2;3;4,3,10
network_009,20,4;5;6,3,12
network_009,21,4;5;7,3,13
network_009,22,4;6;7,3,13
network_009,23,5;6;7,3,10
network_009,24,8;9;10,3,10
network_009,25,8;9;11,3,11
network_009,26,8;10;11,3,11
network_009,27,9;10;11,3,10
network_010,0,0;1,2,5
network_010,1,0;11,2,10
network_010,2,1;2,2,10
network_010,3,1;11,2,11
network_010,4,2;3,2,9
network_010,5,2;4,2,9
network_010,6,2;9,2,12
network_010,7,2;11,2,14
network_010,8,3;4,2,5
network_010,9,3;7,2,5
network_010,10,4;5,2,4
network_010,11,5;6,2,3
network_010,12,6;7,2,4
network_010,13,6;11,2,11
network_010,14,7;8,2,5
network_010,15,8;9,2,8
network_010,16,8;10,2,6
network_010,17,9;10,2,8
network_010,18,9;11,2,13
network_010,19,10;11,2,12
network_010,20,0;1;11,3,11
network_010,21,1;2;11,3,15
network_010,22,2;3;4,3,10
network_010,23,2;9;11,3,17
network_010,24,8;9;10,3,9
network_010,25,9;10;11,3,14
network_011,0,0;1,2,16
network_011,1,0;2,2,15
network_011,2,0;10,2,12
network_011,3,0;11,2,11
network_011,4,1;2,2,18
network_011,5,1;3,2,17
network_011,6,1;4,2,18
network_011,7,1;6,2,15
network_011,8,1;11,2,16
network_011,9,2;3,2,17
network_011,10,2;7,2,12
network_011,11,2;8,2,12
network_011,12,2;11,2,15
network_011,13,3;4,2,14
network_011,14,3;5,2,11
network_011,15,3;10,2,13
network_011,16,4;5,2,11
network_011,17,4;6,2,12
