network,variant,R,rho,eta,g,decay,spectral_abscissa,stable
toy_0,Coverage,2.0,2.0000000000000004,0.9999999999999998,0.5,1.0,-0.5000000000000004,True
toy_0,Constant bias,1.625,1.686140661634506,0.9637392875780377,0.5,1.0,-0.481187488727844,True
toy_0,Full DMWA,1.625,1.686140661634506,0.9637392875780377,0.5,1.0,-0.481187488727844,True
toy_1,Coverage,2.444444444444444,2.522853332939634,0.9689205521892833,0.5,1.0,-0.48396181826234774,True
toy_1,Constant bias,1.7777777777777777,1.9663886818505043,0.9040825927175135,0.5,1.0,-0.4469531832295457,True
toy_1,Full DMWA,1.7777777777777777,1.9635845320864036,0.9053736922080979,0.5,1.0,-0.44774185035069947,True
toy_2,Coverage,3.2380952380952377,3.276983964948435,0.9881327686466695,0.5,1.0,-0.4939951230594334,True
toy_2,Constant bias,2.5714285714285716,2.6659239592388793,0.964554357417874,0.5,1.0,-0.4816258968146643,True
toy_2,Full DMWA,2.5714285714285716,2.6655371964625463,0.9646943118412052,0.5,1.0,-0.48170110068783856,True
network_001,Coverage,5.206896551724138,6.143800509264157,0.8475041700772553,0.5,1.0,-0.4100324014282776,True
network_001,Constant bias,3.896551724137931,4.8105777603170825,0.8099966195913015,0.5,1.0,-0.3827134732336478,True
network_001,Full DMWA,3.896551724137931,4.80780942178396,0.8104630159595837,0.5,1.0,-0.38306870251444913,True
network_002,Coverage,7.617647058823529,8.780541621614642,0.8675600420902885,0.5,1.0,-0.42367101325309475,True
network_002,Constant bias,5.794117647058823,6.816917290921387,0.8499615588376429,0.5,1.0,-0.4117381017986631,True
network_002,Full DMWA,5.794117647058823,6.8115838458765445,0.8506270756053816,0.5,1.0,-0.41219834832537505,True
network_003,Coverage,3.819444444444444,4.565826593235865,0.8365285817255601,0.5,1.0,-0.4022917914309418,True
network_003,Constant bias,2.8125,3.6066675981893614,0.7798057135656045,0.5,1.0,-0.3588146492107809,True
network_003,Full DMWA,2.8125,3.605179064606921,0.780127685642891,0.5,1.0,-0.35907927740321427,True
network_004,Coverage,7.203703703703703,8.338888470915983,0.8638685753896904,0.5,1.0,-0.421208255232054,True
network_004,Constant bias,5.430555555555555,6.481467950451792,0.8378588920087181,0.5,1.0,-0.4032408025159504,True
network_004,Full DMWA,5.4305555555555545,6.477370361850169,0.8383889220755308,0.5,1.0,-0.4036180741007535,True
network_005,Coverage,5.149425287356321,5.723939500243329,0.899629579791578,0.5,1.0,-0.44421569584690845,True
network_005,Constant bias,3.839080459770115,4.463128708468945,0.8601769544502097,0.5,1.0,-0.4187242550347348,True
network_005,Full DMWA,3.8390804597701154,4.4602851306407505,0.8607253454262026,0.5,1.0,-0.419094601248886,True
network_006,Coverage,5.229166666666666,5.80966220546968,0.9000810170587046,0.5,1.0,-0.44449445047301883,True
network_006,Constant bias,3.890625,4.5438945494043,0.8562313578579981,0.5,1.0,-0.4160456803978424,True
network_006,Full DMWA,3.890625,4.542903250939985,0.8564181945092006,0.5,1.0,-0.41617307618442223,True
network_007,Coverage,5.037037037037037,6.4244330166158745,0.7840438251919607,0.5,1.0,-0.36228054614474847,True
network_007,Constant bias,3.7222222222222223,5.029503968162359,0.7400774004324364,0.5,1.0,-0.3243949893513279,True
network_007,Full DMWA,3.7222222222222223,5.027428844523296,0.7403828750907295,0.5,1.0,-0.32467373730284227,True
network_008,Coverage,5.809523809523809,7.22593750145047,0.803982017330991,0.5,1.0,-0.3780955429079519,True
network_008,Constant bias,4.363095238095238,5.646659354534126,0.7726861076880407,0.5,1.0,-0.35290670425529846,True
network_008,Full DMWA,4.363095238095238,5.643714649232429,0.7730892699702029,0.5,1.0,-0.3532441602516724,True
network_009,Coverage,5.172619047619047,5.698035112388824,0.9077899566418248,0.5,1.0,-0.4492117958105166,True
network_009,Constant bias,4.029761904761904,4.504725889434772,0.8945631773540691,0.5,1.0,-0.4410679841764835,True
network_009,Full DMWA,4.029761904761905,4.502546195856384,0.8949962375667407,0.5,1.0,-0.4413384336012759,True
network_010,Coverage,4.8076923076923075,5.8205227867671425,0.8259897751147908,0.5,1.0,-0.39466563017621736,True
network_010,Constant bias,3.5897435897435894,4.552291599235018,0.7885574795662961,0.5,1.0,-0.3659308129636957,True
