network,family,is_toy,variant,total_fraction,spatial_TV_mean,spatial_TV_t1,spatial_TV_t10,spatial_TV_max,total_ratio_t1,total_ratio_t10
network_001,Random,FALSE,Full DMWA,0.00343245010783884,6.9609147796799e-4,0.00120700786338556,9.571341351667215e-5,0.00144301483299581,0.9968299374497044,0.9954296585961668
network_002,Core-periphery,FALSE,Full DMWA,9.0532303045414e-4,0.00143450375394903,0.00231848795033898,3.1142953153143e-4,0.00279346690695971,0.9991008286335298,0.9990524610934696
network_003,Modular,FALSE,Full DMWA,0.00262610680492424,0.00232972857011112,0.00276033820148148,0.00119054781210725,0.00352006954869669,1.0023763057140689,1.0039738449864826
network_004,Random,FALSE,Full DMWA,0.0015297583877378,6.482210027177e-4,0.00110238546829195,1.1051710450591e-4,0.00130580644932291,1.001509526291679,1.0018108480620214
network_005,Core-periphery,FALSE,Full DMWA,0.00969640034068019,0.00372271920927631,0.00410142969439622,0.00175483066823159,0.00557721527338594,1.009007014122885,1.0120932281851651
network_006,Modular,FALSE,Full DMWA,9.0443021169376e-4,0.00157399534606506,0.00208083448498026,5.6098676027126e-4,0.00264347158297998,0.9992011208202946,0.9983700458882336
network_007,Random,FALSE,Full DMWA,0.00663406500655974,0.00199042529512106,0.00316388591531468,3.0466275712906e-4,0.00396390540529798,0.9931981592362812,0.9937894166701686
network_008,Core-periphery,FALSE,Full DMWA,0.0025590698193157,8.3179877175185e-4,0.00152510971567845,9.20763661635414e-5,0.00181508558227598,1.0026950722485066,1.0023958970815992
network_009,Modular,FALSE,Full DMWA,0.00435694086929773,0.00173907383265134,0.00211639195487114,0.0013874035744991,0.00249087488059191,0.9962367900375336,0.9931896859207768
network_010,Random,FALSE,Full DMWA,0.00132369304783789,0.00243681125539311,0.0036476517348254,5.5585282518392e-4,0.00451386812253654,0.9995650712471282,0.9954930190826528
network_011,Core-periphery,FALSE,Full DMWA,0.00222461687296226,0.00110553221109037,0.00148471554325971,4.1265311084583e-4,0.00184548875182358,0.9982468173960202,0.9958470547907212
network_012,Modular,FALSE,Full DMWA,0.00262581893115875,0.00211611067599722,0.00261671370571265,0.00108071966854826,0.00329516164379483,0.9972066716473224,0.9984097246980008
network_013,Random,FALSE,Full DMWA,0.00400793713920769,0.00152016757896748,0.00197937682061488,5.4767613252195e-4,0.00252166740754128,0.9966245416568548,0.9935518681378106
network_014,Core-periphery,FALSE,Full DMWA,2.2566522284117e-4,6.0872807465383e-4,9.3491300107022e-4,1.2370181177248e-4,0.00114500895317389,1.0001875643144729,1.0003720097665258
network_015,Modular,FALSE,Full DMWA,0.00682684483803108,0.00487273334067798,0.0053994958862852,0.00256144583396002,0.00708721748425218,0.9945910915529342,0.9889996883821786
network_016,Random,FALSE,Full DMWA,6.1991528757007e-4,5.9895023318547e-4,9.8456989511006e-4,1.2227431342745e-4,0.00118303349099943,0.999224859801025,0.9998886987113778
network_017,Core-periphery,FALSE,Full DMWA,3.2031848135517e-4,9.3485090921499e-4,0.00161351203120664,1.4692910350846e-4,0.00191320469192938,1.0002984467099336,1.0005791119869225
network_018,Modular,FALSE,Full DMWA,0.00239435070394733,0.00116417399141961,0.00182653193652214,3.6684503567108e-4,0.00215583719492461,1.0022586962870317,1.0033217913048234
network_019,Random,FALSE,Full DMWA,7.9076383012756e-4,0.00209599642601132,0.00289602902834705,6.4960421797986e-4,0.00362834824678676,0.9988898252651592,1.0016114255810145
network_020,Core-periphery,FALSE,Full DMWA,2.088034306335e-4,8.4712119433662e-4,0.00142286745878915,1.6046348917266e-4,0.00168682150204629,0.9997639762510176,1.0008049636896152
network_021,Modular,FALSE,Full DMWA,0.00547083909817352,0.00977724996923951,0.00744639638221096,0.00923131848788101,0.01138615638126603,1.0043386822631737,1.0109192996720868
network_022,Random,FALSE,Full DMWA,0.00878744218580728,0.00250323633679779,0.00335527847339556,6.5274531441823e-4,0.00441998428016532,0.9917821432280844,0.989709088050489
network_023,Core-periphery,FALSE,Full DMWA,0.00264240433688587,0.00156776172146739,0.00251129453483208,3.2644412734135e-4,0.00300900884401221,0.9974719695448988,0.996324857280392
network_024,Modular,FALSE,Full DMWA,0.00374917370957459,0.00123084914115662,0.0020623493651214,1.6815645817103e-4,0.00253981331648561,0.9959701730391654,0.9970616912047896
network_025,Random,FALSE,Full DMWA,0.00157279636515047,0.00333922793983429,0.00351547139445742,0.00145979798012304,0.00499873575586141,1.0020884026019927,0.996990354140955
network_026,Core-periphery,FALSE,Full DMWA,0.00191767268841872,0.00109088085981172,0.00152772816989274,2.6921884957884e-4,0.00195254150601821,1.0019176284487257,1.0018336539693078
network_027,Modular,FALSE,Full DMWA,0.00116553879473541,0.00187100139924651,0.00220188258022873,8.3236604317046e-4,0.00291059873822085,1.0009784395041554,1.0013682538669382
network_028,Random,FALSE,Full DMWA,0.02311784705356987,0.0034973369880789,0.00410275471015701,0.00193335314016826,0.00505546090217676,0.9808802329588304,0.9624270567347458
network_029,Core-periphery,FALSE,Full DMWA,0.00564663401716914,0.00202245021766743,0.00267985362702649,4.740514622258e-4,0.00360080045302016,1.0056670331872706,1.0051491714416676
network_030,Modular,FALSE,Full DMWA,0.0014695129513862,0.00150506223535934,0.00163304592715291,6.8813235924711e-4,0.00227463034306085,1.001653012857784,1.0004808492011108
network_031,Random,FALSE,Full DMWA,0.00698765800322719,0.00244602473966217,0.00377788934890518,4.3008435522375e-4,0.00471499990177262,0.9930151190668512,0.9932983817757522
network_032,Core-periphery,FALSE,Full DMWA,0.00396385989342963,8.7601353404184e-4,0.00188887917297325,6.566201068754424e-5,0.00208615633161853,1.0038072433668608,1.0046867546608176
network_033,Modular,FALSE,Full DMWA,0.01006170719081541,0.00822163099374437,0.00881806404892768,0.00389906287029328,0.01205930810189454,1.006719334834655,1.026547393355218
network_034,Random,FALSE,Full DMWA,0.00120407262998955,0.00228386941825018,0.00285978869253584,9.1774664049923e-4,0.00365533452946714,0.999083629807586,0.9971457423721528
network_035,Core-periphery,FALSE,Full DMWA,0.00558058283762381,0.00148077026585252,0.00215317890684808,4.213800083761e-4,0.00267114599388689,1.0054326263905906,1.0065364426934578
network_036,Modular,FALSE,Full DMWA,0.00457546798472061,0.00343190387184333,0.00250905413373193,0.00275115777458285,0.00421716140836156,0.9954294388682016,0.9970380565882366
network_037,Random,FALSE,Full DMWA,0.00738079689468572,0.00232733890156395,0.0033120701958763,4.6609031468947e-4,0.0043511085456609,0.9925165258310124,0.9934179877107576
network_038,Core-periphery,FALSE,Full DMWA,0.00204158773493233,0.00169246030263567,0.00230601368795168,5.7190567275916e-4,0.00288898950723435,0.9981562515526464,0.9974689918124716
network_039,Modular,FALSE,Full DMWA,0.00842934538670695,0.00401406819984568,0.00488399420852154,0.00160841494525372,0.00639818741180693,1.007932976595432,1.010506649727872
network_040,Random,FALSE,Full DMWA,0.00231804422581219,0.00145668943958021,0.00319251312518978,9.11856764696421e-5,0.00356598113930551,0.9998363286503732,0.992795112619026
network_041,Core-periphery,FALSE,Full DMWA,0.00357766262825418,0.00109290205642791,0.00208222104649273,1.2415226120919e-4,0.0024292151762974,0.9963743191164748,0.9964043982110738
network_042,Modular,FALSE,Full DMWA,0.00443693658950628,9.8696581482007e-4,0.00177471512338214,1.3015208405244e-4,0.00205669467927333,1.003705853724007,1.0078575935669185
network_043,Random,FALSE,Full DMWA,0.0171385336248587,0.0015687838222001,0.00375396093369126,8.526931970249539e-5,0.00402914317818861,1.0135054338013467,1.024774633589557
network_044,Core-periphery,FALSE,Full DMWA,0.00276920110178946,0.00323164771219172,0.00439368667224365,0.00106565001170505,0.00555459339918068,1.0018321582063556,1.006613573178128
network_045,Modular,FALSE,Full DMWA,0.00872041042393364,0.00493754352119188,0.00508619913830668,0.00228366370470416,0.00729997538892622,1.008877770601618,1.006224171444373
network_046,Random,FALSE,Full DMWA,0.00585082078364385,0.00369842952117858,0.00486584269915999,0.00126016291563609,0.006202554391285,0.9953946309244042,0.9892468681940838
network_047,Core-periphery,FALSE,Full DMWA,0.00638425518951651,0.00137592284374543,0.00267808000819688,1.3906879438245e-4,0.00309376735180557,1.006159057122234,1.0072960153541215
network_048,Modular,FALSE,Full DMWA,0.00379791401692046,0.0028242449462447,0.00305461725277503,0.00139733964468576,0.00419048764933063,1.0038731318198175,1.003040722234958
network_049,Random,FALSE,Full DMWA,0.00986516843901212,0.00200742012088768,0.00257701786100508,9.4758511294128e-4,0.00318999992905906,0.9912300795974824,0.9857833619852564
network_050,Core-periphery,FALSE,Full DMWA,3.0966535921723e-4,8.0323628887711e-4,0.00124161137972124,1.9208560220146e-4,0.00149720552712208,1.0002974911818556,1.0003176107798144
network_051,Modular,FALSE,Full DMWA,0.00132990729856424,0.00209213589856508,0.00265566241183486,0.0011658522864764,0.00325977623508174,0.9983827121598662,0.9997416554759356
network_052,Random,FALSE,Full DMWA,0.01272050476207196,0.00214854490130083,0.00280858724894786,6.4830616772418e-4,0.0037085714633842,0.988428388032078,0.9830983799044228
network_053,Core-periphery,FALSE,Full DMWA,0.00122885451626856,6.676923112622e-4,0.00110014626575053,1.1798937828359e-4,0.00131257945156598,1.0007806545716929,1.0028664245662509
network_054,Modular,FALSE,Full DMWA,4.2193478043621e-4,6.7679928287618e-4,7.8052349966332e-4,3.7267511269103e-4,9.7943368271114e-4,0.9996957689381066,0.9990655339567271
network_055,Random,FALSE,Full DMWA,0.00166797571164394,9.2327973700212e-4,0.00134967068791047,2.3478140634839e-4,0.00166342752061771,1.001513782767227,1.0024993479257207
network_056,Core-periphery,FALSE,Full DMWA,0.00327236483980588,4.9489647391577e-4,8.266494671406e-4,9.742325154390356e-5,9.6084516177504e-4,1.002610644739582,1.00598936467847
network_057,Modular,FALSE,Full DMWA,0.01666906855368687,0.00532198006327862,0.00396567449299284,0.00524510754111247,0.00610194847830463,1.0147333758965171,1.0260492944188075
network_058,Random,FALSE,Full DMWA,0.00366982266629847,5.4590761531524e-4,0.00102998401640373,6.388801475775601e-5,0.00118328815319484,1.002911082254244,1.0056209245515728
network_059,Core-periphery,FALSE,Full DMWA,5.6163591360124e-4,6.4511919744175e-4,9.0559320339096e-4,2.0411680974898e-4,0.0011238841228106,0.9992385585644996,1.0002429960276948
network_060,Modular,FALSE,Full DMWA,0.00390972629946919,0.0022944874371876,0.00241769222217124,0.00101757855381387,0.00342861020475868,0.996011642780555,0.9970978077546192
network_061,Random,FALSE,Full DMWA,0.00274731268398729,0.0013440076740138,0.00206927026612112,2.5214636300396e-4,0.00257113365568088,1.00278523735742,1.0025376896644964
network_062,Core-periphery,FALSE,Full DMWA,6.7350370384094e-4,0.00151263872743707,0.00213789190380409,4.1283046062784e-4,0.00267792875255855,1.0006226869561667,1.0010334024693093
network_063,Modular,FALSE,Full DMWA,0.01501004003874022,0.00110809053237987,0.00141135309927817,6.9148409088779e-4,0.00170205887834531,0.9867498716057492,0.976331928384242
network_064,Random,FALSE,Full DMWA,4.8866796413804e-4,0.00417472730734009,0.00449350875848236,0.00205761078973127,0.00615667577402436,1.000155574606158,1.002871098428764
network_065,Core-periphery,FALSE,Full DMWA,5.4559840814159e-4,8.9449161339874e-4,0.0013892267493213,2.0251220119149e-4,0.00168688598804715,0.9995086934388538,0.9992856660076348
network_066,Modular,FALSE,Full DMWA,0.00161349043142377,7.5430312211856e-4,0.00114487994106226,3.2857876668762e-4,0.00134029070645781,1.001470277491903,1.0023717423643677
network_067,Random,FALSE,Full DMWA,0.00406857159312662,0.00330696014514769,0.00401315836669439,0.00135475711562085,0.00524397029967974,0.9970862257440876,0.9907864480044828
network_068,Core-periphery,FALSE,Full DMWA,0.00404695518589072,0.0020390507603516,0.00248312320148092,7.8439106704685e-4,0.0032697030737464,1.0038973804175633,1.0039411180206028
network_069,Modular,FALSE,Full DMWA,0.01689363650875037,0.00332860433776238,0.00379832242094753,0.00108670086898607,0.00530555425870963,1.0160959061610315,1.019279814754246
network_070,Random,FALSE,Full DMWA,0.0060924587587644,0.00259373794427495,0.00316323479198737,0.00106230141587338,0.00410995229790077,1.004841099669293,1.0114161437944424
network_071,Core-periphery,FALSE,Full DMWA,0.00266419600143014,9.8238239626801e-4,0.00200858133916144,8.244404822119189e-5,0.0022903161659877,1.0026317198371224,1.002835117206847
network_072,Modular,FALSE,Full DMWA,0.00458409641056799,0.0021033537403149,0.00256212655049803,8.0239035946243e-4,0.00334257002364079,0.9964041485609842,0.9908735745559204
network_073,Random,FALSE,Full DMWA,0.00313589294973571,0.00200734004878366,0.00285880289300461,5.1914723852733e-4,0.00359029474839181,1.0026588176346984,1.0048636630900067
network_074,Core-periphery,FALSE,Full DMWA,0.00221591651158272,0.00154499790633737,0.00281895221281952,2.4926689905091e-4,0.0032719792483814,0.997819855368458,0.9975687415082763
network_075,Modular,FALSE,Full DMWA,0.00249833480809097,0.00121518109733595,0.00168687320782363,4.8178729687683e-4,0.00196738380412033,0.99803336720536,0.9951013504605628
network_076,Random,FALSE,Full DMWA,0.00420875779881264,0.00223038940714749,0.00325723375628944,5.3416321655032e-4,0.00407178522671082,0.9963611609795534,0.9944557627974068
network_077,Core-periphery,FALSE,Full DMWA,6.2966405809127e-4,0.00115104468509857,0.00160673255417314,3.1902804912448e-4,0.00201614496697769,1.0006550922762911,1.0005731168422194
