network,family,is_toy,variant,projection,relative_L2_error,max_absolute_error,negative_fraction,finite,exact_expected,context_negative_fraction,minimum_context_state,reduced_spectral_abscissa,context,error_percent
network_001,Random,FALSE,Full DMWA,Node,0.01074926325372415,9.2558023094986e-4,0,TRUE,FALSE,0,6.984700286251879e-5,-0.39116206608561055,Nodes,1.074926325372415
network_001,Random,FALSE,Full DMWA,Node + order,6.2325994976635e-4,7.923038878249189e-5,0,TRUE,FALSE,0,0,4.142381070531111e-17,"Nodes +
order",0.062325994976635005
network_001,Random,FALSE,Full DMWA,Node + order + degree,2.790545249097187e-16,4.163336342344337e-17,0,TRUE,TRUE,0,0,-0.38306870251444874,"Nodes +
order + degree",2.790545249097187e-14
network_002,Core-periphery,FALSE,Full DMWA,Node,0.00362661626079631,0.00047037198080045997,0,TRUE,FALSE,0,5.7333369969951405e-5,-0.4135971554231175,Nodes,0.362661626079631
network_002,Core-periphery,FALSE,Full DMWA,Node + order,7.5265443291866e-4,1.1795474801602e-4,0,TRUE,FALSE,0,0,0,"Nodes +
order",0.07526544329186599
network_002,Core-periphery,FALSE,Full DMWA,Node + order + degree,2.3045552498984684e-16,5.551115123125783e-17,0,TRUE,TRUE,0,0,-0.4121983483253754,"Nodes +
order + degree",2.3045552498984685e-14
network_003,Modular,FALSE,Full DMWA,Node,0.01653760082843056,0.00134053093679124,0,TRUE,FALSE,0,2.3804964020584393e-5,-0.3716436980664096,Nodes,1.653760082843056
network_003,Modular,FALSE,Full DMWA,Node + order,8.8890028055816e-4,1.4957818547307e-4,0,TRUE,FALSE,0,0,4.594732975406244e-16,"Nodes +
order",0.088890028055816
network_003,Modular,FALSE,Full DMWA,Node + order + degree,3.375907750152558e-16,4.163336342344337e-17,0,TRUE,TRUE,0,0,-0.35907927740321455,"Nodes +
order + degree",3.375907750152558e-14
network_004,Random,FALSE,Full DMWA,Node,0.00396081469854405,3.9152911879129e-4,0,TRUE,FALSE,0,1.0557692515654e-4,-0.4054652612181137,Nodes,0.396081469854405
network_004,Random,FALSE,Full DMWA,Node + order,5.3005342417281e-4,7.034589422832971e-5,0,TRUE,FALSE,0,0,0,"Nodes +
order",0.053005342417281
network_004,Random,FALSE,Full DMWA,Node + order + degree,3.153473292213976e-16,5.551115123125783e-17,0,TRUE,TRUE,0,0,-0.4036180741007536,"Nodes +
order + degree",3.153473292213976e-14
network_005,Core-periphery,FALSE,Full DMWA,Node,0.01336195990646122,0.00138796669169274,0,TRUE,FALSE,0,8.17446319107206e-5,-0.42989603116441694,Nodes,1.336195990646122
network_005,Core-periphery,FALSE,Full DMWA,Node + order,8.3358401384419e-4,1.0615540424595e-4,0,TRUE,FALSE,0,0,0,"Nodes +
order",0.083358401384419
network_005,Core-periphery,FALSE,Full DMWA,Node + order + degree,2.3293540901584956e-16,4.163336342344337e-17,0,TRUE,TRUE,0,0,-0.4190946012488867,"Nodes +
order + degree",2.3293540901584955e-14
network_006,Modular,FALSE,Full DMWA,Node,0.01065731786353067,7.0621954351416e-4,0,TRUE,FALSE,0,2.5498567051178e-4,-0.42219349154109953,Nodes,1.065731786353067
network_006,Modular,FALSE,Full DMWA,Node + order,7.0482497779873e-4,7.588592049951465e-5,0,TRUE,FALSE,0,6.729852110859466e-5,1.7916191726368171e-16,"Nodes +
order",0.07048249777987299
network_006,Modular,FALSE,Full DMWA,Node + order + degree,2.3232229538927577e-16,2.775557561562891e-17,0,TRUE,TRUE,0,0,-0.416173076184421,"Nodes +
order + degree",2.3232229538927577e-14
network_007,Random,FALSE,Full DMWA,Node,0.00959431971115733,0.00105683476971463,0,TRUE,FALSE,0,3.893001677528712e-5,-0.3292161362672006,Nodes,0.959431971115733
network_007,Random,FALSE,Full DMWA,Node + order,7.0986161904845e-4,9.680476366289575e-5,0,TRUE,FALSE,0,0,5.683780052259718e-17,"Nodes +
order",0.070986161904845
network_007,Random,FALSE,Full DMWA,Node + order + degree,2.8269845636567563e-16,5.551115123125783e-17,0,TRUE,TRUE,0,0,-0.32467373730284277,"Nodes +
order + degree",2.8269845636567564e-14
network_008,Core-periphery,FALSE,Full DMWA,Node,0.00471538803209815,4.793496060796e-4,0,TRUE,FALSE,0,1.123606275332377e-5,-0.3553616291569269,Nodes,0.47153880320981495
network_008,Core-periphery,FALSE,Full DMWA,Node + order,6.1104981473935e-4,1.0699832419597e-4,0,TRUE,FALSE,0,0,0,"Nodes +
order",0.061104981473935
network_008,Core-periphery,FALSE,Full DMWA,Node + order + degree,2.1984210159126007e-16,5.551115123125783e-17,0,TRUE,TRUE,0,0,-0.3532441602516725,"Nodes +
order + degree",2.1984210159126006e-14
network_009,Modular,FALSE,Full DMWA,Node,0.00467172190713342,4.7725509014958e-4,0,TRUE,FALSE,0,2.193786117260138e-5,-0.4445077580521444,Nodes,0.467172190713342
network_009,Modular,FALSE,Full DMWA,Node + order,0.00102035339006917,1.6323462083671e-4,0,TRUE,FALSE,0,0,1.3845127266196279e-17,"Nodes +
order",0.102035339006917
