network,family,is_toy,variant,projection,relative_L2_error,max_absolute_error,negative_fraction,finite,exact_expected,context_negative_fraction,minimum_context_state,reduced_spectral_abscissa
toy_0,Triangle,True,Coverage,Node,2.6301753499244886e-16,1.1102230246251565e-16,0.0,True,True,0.0,0.0022459823330284877,-0.49999999999999967
toy_0,Triangle,True,Constant bias,Node,0.061207931492523814,0.017617346830435282,0.0,True,False,0.0,0.002245982333028492,-0.4999999999999998
toy_0,Triangle,True,Constant bias,Node + order,3.032703306846795e-16,1.1102230246251565e-16,0.0,True,True,0.0,0.0,-0.4811874887278438
toy_0,Triangle,True,Full DMWA,Node,0.061207931492523814,0.017617346830435282,0.0,True,False,0.0,0.002245982333028492,-0.4999999999999998
toy_0,Triangle,True,Full DMWA,Node + order,3.0643917768123365e-16,1.3877787807814457e-16,0.0,True,False,0.0,0.0,1.2819751242557097e-16
toy_0,Triangle,True,Full DMWA,Node + order + degree,3.032703306846795e-16,1.1102230246251565e-16,0.0,True,True,0.0,0.0,-0.4811874887278438
toy_1,Triangle + branches,True,Coverage,Node,2.841025564493193e-16,1.6653345369377348e-16,0.0,True,True,0.0,0.0,-0.4839618182623479
toy_1,Triangle + branches,True,Constant bias,Node,0.08243932234240776,0.03201551549121556,0.0,True,False,0.0,0.0,-0.4695846580312061
toy_1,Triangle + branches,True,Constant bias,Node + order,2.292665298879565e-16,1.6653345369377348e-16,0.0,True,True,0.0,0.0,-0.44695318322954547
toy_1,Triangle + branches,True,Full DMWA,Node,0.08499158905803285,0.032311012432139324,0.0,True,False,0.0,0.0,-0.47113511394301016
toy_1,Triangle + branches,True,Full DMWA,Node + order,3.6413399328757835e-16,1.1102230246251565e-16,0.0,True,False,0.0,0.0,0.0
toy_1,Triangle + branches,True,Full DMWA,Node + order + degree,2.0840601506451896e-16,1.1102230246251565e-16,0.0,True,True,0.0,0.0,-0.4477418503506998
toy_2,Double triangle,True,Coverage,Node,2.5719905101841217e-16,1.6653345369377348e-16,0.0,True,True,0.0,0.0,-0.4939951230594335
toy_2,Double triangle,True,Constant bias,Node,0.03502828763597411,0.0096680353057009,0.0,True,False,0.0,0.0,-0.49220511139739903
toy_2,Double triangle,True,Constant bias,Node + order,2.6956286744965663e-16,1.1102230246251565e-16,0.0,True,True,0.0,0.0,-0.48162589681466406
toy_2,Double triangle,True,Full DMWA,Node,0.03589365878281863,0.010036916878535973,0.0,True,False,0.0,0.0,-0.49253246964479214
toy_2,Double triangle,True,Full DMWA,Node + order,4.848351020039717e-16,2.220446049250313e-16,0.0,True,False,0.0,0.0,7.049579407806898e-17
toy_2,Double triangle,True,Full DMWA,Node + order + degree,2.2489578879743084e-16,1.1102230246251565e-16,0.0,True,True,0.0,0.0,-0.4817011006878378
network_001,Random,False,Coverage,Node,2.735568417197119e-16,5.551115123125783e-17,0.0,True,True,0.0,0.00011116379727951078,-0.4100324014282769
network_001,Random,False,Constant bias,Node,0.010298552957804803,0.0009020681201866998,0.0,True,False,0.0,8.81820566184716e-05,-0.39039739228679726
network_001,Random,False,Constant bias,Node + order,2.759336065561659e-16,6.938893903907228e-17,0.0,True,True,0.0,0.0,-0.38271347323364713
network_001,Random,False,Full DMWA,Node,0.010749263253724151,0.0009255802309498656,0.0,True,False,0.0,6.984700286251879e-05,-0.39116206608561055
network_001,Random,False,Full DMWA,Node + order,0.0006232599497663579,7.923038878249189e-05,0.0,True,False,0.0,0.0,4.1423810705311113e-17
network_001,Random,False,Full DMWA,Node + order + degree,2.790545249097187e-16,4.163336342344337e-17,0.0,True,True,0.0,0.0,-0.38306870251444874
network_002,Core-periphery,False,Coverage,Node,3.0541956062929473e-16,8.326672684688674e-17,0.0,True,True,0.0,7.854885508173022e-05,-0.4236710132530934
network_002,Core-periphery,False,Constant bias,Node,0.002947767768069792,0.00037102760460150375,0.0,True,False,0.0,7.170956986484324e-05,-0.4127785796680403
network_002,Core-periphery,False,Constant bias,Node + order,2.280670029644483e-16,8.326672684688674e-17,0.0,True,True,0.0,0.0,-0.4117381017986639
network_002,Core-periphery,False,Full DMWA,Node,0.003626616260796316,0.00047037198080046583,0.0,True,False,0.0,5.7333369969951405e-05,-0.4135971554231175
network_002,Core-periphery,False,Full DMWA,Node + order,0.0007526544329186667,0.00011795474801602757,0.0,True,False,0.0,0.0,0.0
network_002,Core-periphery,False,Full DMWA,Node + order + degree,2.3045552498984684e-16,5.551115123125783e-17,0.0,True,True,0.0,0.0,-0.41219834832537533
network_003,Modular,False,Coverage,Node,2.3761353690917083e-16,5.551115123125783e-17,0.0,True,True,0.0,5.88062513999441e-05,-0.4022917914309404
network_003,Modular,False,Constant bias,Node,0.0164187624244595,0.001350254443157596,0.0,True,False,0.0,3.6804215156541125e-05,-0.37126738797617537
network_003,Modular,False,Constant bias,Node + order,3.7913378071543454e-16,5.551115123125783e-17,0.0,True,True,0.0,0.0,-0.3588146492107819
network_003,Modular,False,Full DMWA,Node,0.016537600828430567,0.0013405309367912413,0.0,True,False,0.0,2.3804964020584393e-05,-0.37164369806640957
network_003,Modular,False,Full DMWA,Node + order,0.0008889002805581611,0.00014957818547307877,0.0,True,False,0.0,0.0,4.594732975406244e-16
network_003,Modular,False,Full DMWA,Node + order + degree,3.375907750152558e-16,4.163336342344337e-17,0.0,True,True,0.0,0.0,-0.35907927740321455
network_004,Random,False,Coverage,Node,2.280871893706326e-16,5.551115123125783e-17,0.0,True,True,0.0,0.00013494134465676018,-0.42120825523205363
network_004,Random,False,Constant bias,Node,0.003523784531144131,0.0004156557463937463,0.0,True,False,0.0,0.00012456919760315662,-0.40465117466143713
network_004,Random,False,Constant bias,Node + order,2.424194399668208e-16,8.326672684688674e-17,0.0,True,True,0.0,0.0,-0.40324080251594985
network_004,Random,False,Full DMWA,Node,0.0039608146985440585,0.0003915291187912978,0.0,True,False,0.0,0.00010557692515654642,-0.4054652612181137
network_004,Random,False,Full DMWA,Node + order,0.0005300534241728176,7.034589422832971e-05,0.0,True,False,0.0,0.0,0.0
network_004,Random,False,Full DMWA,Node + order + degree,3.153473292213976e-16,5.551115123125783e-17,0.0,True,True,0.0,0.0,-0.40361807410075357
network_005,Core-periphery,False,Coverage,Node,2.3560405104036207e-16,5.551115123125783e-17,0.0,True,True,0.0,0.00011855695643575793,-0.4442156958469087
network_005,Core-periphery,False,Constant bias,Node,0.0134874885981634,0.0014556088692421892,0.0,True,False,0.0,9.925300497151168e-05,-0.4294110899734451
network_005,Core-periphery,False,Constant bias,Node + order,2.1535451420250027e-16,4.163336342344337e-17,0.0,True,True,0.0,0.0,-0.4187242550347341
network_005,Core-periphery,False,Full DMWA,Node,0.013361959906461223,0.0013879666916927491,0.0,True,False,0.0,8.17446319107206e-05,-0.42989603116441694
network_005,Core-periphery,False,Full DMWA,Node + order,0.0008335840138441947,0.00010615540424595282,0.0,True,False,0.0,0.0,0.0
network_005,Core-periphery,False,Full DMWA,Node + order + degree,2.3293540901584956e-16,4.163336342344337e-17,0.0,True,True,0.0,0.0,-0.4190946012488867
network_006,Modular,False,Coverage,Node,2.170546851491575e-16,4.163336342344337e-17,0.0,True,True,0.0,0.0002683223264956149,-0.4444944504730188
network_006,Modular,False,Constant bias,Node,0.010747252757040882,0.0007358161439733786,0.0,True,False,0.0,0.0002678136213697049,-0.42211054585946917
network_006,Modular,False,Constant bias,Node + order,2.966724339925096e-16,4.163336342344337e-17,0.0,True,True,0.0,6.89189765419209e-05,-0.4160456803978423
network_006,Modular,False,Full DMWA,Node,0.010657317863530672,0.0007062195435141617,0.0,True,False,0.0,0.00025498567051178905,-0.42219349154109953
network_006,Modular,False,Full DMWA,Node + order,0.000704824977798733,7.588592049951465e-05,0.0,True,False,0.0,6.729852110859466e-05,1.7916191726368171e-16
network_006,Modular,False,Full DMWA,Node + order + degree,2.3232229538927577e-16,2.7755575615628914e-17,0.0,True,True,0.0,0.0,-0.416173076184421
network_007,Random,False,Coverage,Node,2.487949609483375e-16,5.551115123125783e-17,0.0,True,True,0.0,9.034659507108353e-05,-0.36228054614474803
network_007,Random,False,Constant bias,Node,0.00921419526889412,0.0010638003738681207,0.0,True,False,0.0,6.097531818271626e-05,-0.3285599645719338
network_007,Random,False,Constant bias,Node + order,2.7361798244121164e-16,5.551115123125783e-17,0.0,True,True,0.0,0.0,-0.32439498935132793
network_007,Random,False,Full DMWA,Node,0.009594319711157331,0.0010568347697146388,0.0,True,False,0.0,3.893001677528712e-05,-0.3292161362672006
network_007,Random,False,Full DMWA,Node + order,0.0007098616190484503,9.680476366289575e-05,0.0,True,False,0.0,0.0,5.683780052259718e-17
network_007,Random,False,Full DMWA,Node + order + degree,2.826984563656756e-16,5.551115123125783e-17,0.0,True,True,0.0,0.0,-0.32467373730284277
network_008,Core-periphery,False,Coverage,Node,2.4292303384164494e-16,5.551115123125783e-17,0.0,True,True,0.0,2.963301404310983e-05,-0.37809554290795155
network_008,Core-periphery,False,Constant bias,Node,0.00399519031863066,0.00042000238856011035,0.0,True,False,0.0,1.9951467284360822e-05,-0.35458967252928086
network_008,Core-periphery,False,Constant bias,Node + order,2.299639082403895e-16,5.551115123125783e-17,0.0,True,True,0.0,0.0,-0.3529067042552988
network_008,Core-periphery,False,Full DMWA,Node,0.004715388032098159,0.0004793496060796071,0.0,True,False,0.0,1.123606275332377e-05,-0.3553616291569269
network_008,Core-periphery,False,Full DMWA,Node + order,0.000611049814739359,0.00010699832419597266,0.0,True,False,0.0,0.0,0.0
network_008,Core-periphery,False,Full DMWA,Node + order + degree,2.1984210159126007e-16,5.551115123125783e-17,0.0,True,True,0.0,0.0,-0.3532441602516725
network_009,Modular,False,Coverage,Node,2.326790893371569e-16,5.551115123125783e-17,0.0,True,True,0.0,4.097414160071031e-05,-0.44921179581051646
network_009,Modular,False,Constant bias,Node,0.004601215115952767,0.00047117039844819797,0.0,True,False,0.0,3.040489084510945e-05,-0.44438139848319513
network_009,Modular,False,Constant bias,Node + order,2.9472585227853116e-16,4.163336342344337e-17,0.0,True,True,0.0,0.0,-0.4410679841764829
network_009,Modular,False,Full DMWA,Node,0.004671721907133424,0.00047725509014958506,0.0,True,False,0.0,2.193786117260138e-05,-0.4445077580521444
network_009,Modular,False,Full DMWA,Node + order,0.001020353390069176,0.00016323462083671011,0.0,True,False,0.0,0.0,1.3845127266196279e-17
network_009,Modular,False,Full DMWA,Node + order + degree,2.2066726758960656e-16,5.551115123125783e-17,0.0,True,True,0.0,0.0,-0.44133843360127495
network_010,Random,False,Coverage,Node,2.2144046920657553e-16,8.326672684688674e-17,0.0,True,True,0.0,8.537681671262886e-05,-0.3946656301762165
network_010,Random,False,Constant bias,Node,0.01407713695376459,0.0015860088857897608,0.0,True,False,0.0,6.729780117514594e-05,-0.37654612151449973
network_010,Random,False,Constant bias,Node + order,2.496008467470825e-16,5.551115123125783e-17,0.0,True,True,0.0,0.0,-0.3659308129636949
network_010,Random,False,Full DMWA,Node,0.014277022512701786,0.0015641462326648134,0.0,True,False,0.0,4.461071564446021e-05,-0.37743389272573485
network_010,Random,False,Full DMWA,Node + order,0.00039882011214628177,6.041178044369211e-05,0.0,True,False,0.0,0.0,2.9236503144766997e-16
network_010,Random,False,Full DMWA,Node + order + degree,2.022635915046218e-16,5.551115123125783e-17,0.0,True,True,0.0,0.0,-0.3666477437616472
network_011,Core-periphery,False,Coverage,Node,2.7130034757602137e-16,6.938893903907228e-17,0.0,True,True,0.0,5.580335270247422e-05,-0.44489824945728856
network_011,Core-periphery,False,Constant bias,Node,0.00281495760606238,0.0003094874363309408,0.0,True,False,0.0,4.5916595320821304e-05,-0.43836655670270097
network_011,Core-periphery,False,Constant bias,Node + order,2.163499603426736e-16,4.163336342344337e-17,0.0,True,True,0.0,0.0,-0.436637596145674
network_011,Core-periphery,False,Full DMWA,Node,0.0032794265889392743,0.000418533872014102,0.0,True,False,0.0,3.676537733574824e-05,-0.4387445404287003
