network,u,v
toy_0,0,1
toy_0,0,2
toy_0,1,2
toy_1,0,1
toy_1,0,2
toy_1,0,3
toy_1,0,4
toy_1,1,2
toy_2,0,1
toy_2,0,2
toy_2,1,2
toy_2,1,3
toy_2,2,3
network_001,0,1
network_001,0,11
network_001,1,2
network_001,1,3
network_001,1,7
network_001,1,9
network_001,2,3
network_001,2,7
network_001,2,10
network_001,3,4
network_001,3,5
network_001,4,5
network_001,4,11
network_001,5,6
network_001,6,7
network_001,6,9
network_001,7,8
network_001,7,9
network_001,8,9
network_001,8,10
network_001,9,10
network_001,10,11
network_002,0,1
network_002,0,2
network_002,0,3
network_002,0,4
network_002,0,7
network_002,0,8
network_002,0,11
network_002,1,2
network_002,1,3
network_002,1,5
network_002,1,6
network_002,1,8
network_002,1,10
network_002,2,3
network_002,3,4
network_002,3,6
network_002,4,5
network_002,4,8
network_002,5,6
network_002,6,7
network_002,7,8
network_002,8,9
network_002,9,10
network_002,10,11
network_003,0,1
network_003,0,3
network_003,0,11
network_003,1,2
network_003,1,3
network_003,2,3
network_003,2,4
network_003,2,9
network_003,3,4
network_003,4,5
network_003,4,6
network_003,5,6
network_003,5,7
network_003,6,7
network_003,7,8
network_003,8,9
network_003,8,11
network_003,9,10
network_003,10,11
network_004,0,1
network_004,0,6
network_004,0,11
network_004,1,2
network_004,1,8
network_004,1,9
network_004,1,10
network_004,2,3
network_004,2,5
network_004,2,8
network_004,2,9
network_004,2,11
network_004,3,4
network_004,3,5
network_004,3,10
network_004,4,5
network_004,4,8
network_004,5,6
network_004,5,9
network_004,5,11
network_004,6,7
network_004,7,8
network_004,7,9
network_004,8,9
network_004,9,10
network_004,10,11
network_005,0,1
network_005,0,2
network_005,0,11
network_005,1,2
network_005,1,4
network_005,1,5
network_005,1,9
network_005,2,3
network_005,3,4
network_005,3,6
network_005,3,7
network_005,3,9
network_005,4,5
network_005,4,6
network_005,5,6
network_005,6,7
network_005,7,8
network_005,7,9
network_005,7,11
network_005,8,9
network_005,9,10
network_005,10,11
network_006,0,1
network_006,0,2
network_006,0,3
network_006,0,9
network_006,0,11
network_006,1,2
network_006,1,3
network_006,2,3
network_006,2,5
network_006,3,4
network_006,3,6
network_006,4,5
network_006,4,7
network_006,5,6
network_006,5,7
network_006,5,9
network_006,6,7
network_006,6,11
network_006,7,8
network_006,8,9
network_006,8,10
network_006,8,11
network_006,9,10
network_006,10,11
network_007,0,1
network_007,0,9
network_007,0,10
network_007,0,11
network_007,1,2
network_007,2,3
network_007,2,11
network_007,3,4
network_007,3,6
network_007,4,5
network_007,5,6
network_007,5,10
network_007,5,11
network_007,6,7
network_007,6,8
network_007,7,8
network_007,7,11
network_007,8,9
network_007,9,10
network_007,9,11
network_007,10,11
network_008,0,1
network_008,0,2
network_008,0,3
network_008,0,4
network_008,0,9
network_008,0,11
network_008,1,2
network_008,1,3
network_008,1,5
network_008,2,3
network_008,2,8
network_008,3,4
network_008,3,8
network_008,4,5
network_008,4,11
network_008,5,6
network_008,6,7
network_008,7,8
network_008,8,9
network_008,9,10
network_008,10,11
network_009,0,1
network_009,0,11
network_009,1,2
network_009,2,3
network_009,2,4
network_009,3,4
network_009,4,5
network_009,4,6
network_009,4,7
network_009,5,6
network_009,5,7
network_009,6,7
network_009,7,8
network_009,8,9
network_009,8,10
network_009,8,11
network_009,9,10
network_009,9,11
network_009,10,11
network_010,0,1
