network,family,is_toy,seed,n,m,n_pairs,n_triangles,node_rank,node_nullity,has_pair,pair_type,Node_dimension,Node_active_dimension,Node_rank,Node + order_dimension,Node + order_active_dimension,Node + order_rank,Node + order + degree_dimension,Node + order + degree_active_dimension,Node + order + degree_rank
toy_0,Triangle,True,,3,4,3,1,3,1,True,Fixed triangle versus its three edges,3,3,3,6,6,4,6,6,4
toy_1,Triangle + branches,True,,5,6,5,1,5,1,True,Fixed triangle versus its three edges,5,5,5,10,8,6,20,11,6
toy_2,Double triangle,True,,4,7,5,2,4,3,True,Fixed triangle versus its three edges,4,4,4,8,8,6,12,10,6
network_001,Random,False,930000.0,12,29,22,7,12,17,True,Geometry-only fixed random null direction,12,12,12,24,22,19,204,57,29
network_002,Core-periphery,False,930001.0,12,34,24,10,12,22,True,Geometry-only fixed random null direction,12,12,12,24,21,21,252,69,34
network_003,Modular,False,930002.0,12,24,19,5,12,12,True,Geometry-only fixed random null direction,12,12,12,24,20,17,144,44,24
network_004,Random,False,930003.0,12,36,26,10,12,24,True,Geometry-only fixed random null direction,12,12,12,24,22,22,264,71,36
network_005,Core-periphery,False,930004.0,12,29,22,7,12,17,True,Geometry-only fixed random null direction,12,12,12,24,22,19,156,55,29
network_006,Modular,False,930005.0,12,32,24,8,12,20,True,Geometry-only fixed random null direction,12,12,12,24,24,20,144,56,32
network_007,Random,False,930006.0,12,27,21,6,12,15,True,Geometry-only fixed random null direction,12,12,12,24,20,18,168,47,27
network_008,Core-periphery,False,930007.0,12,28,21,7,12,16,True,Geometry-only fixed random null direction,12,12,12,24,19,19,216,52,28
network_009,Modular,False,930008.0,12,28,19,9,12,16,True,Geometry-only fixed random null direction,12,12,12,24,22,21,144,51,27
network_010,Random,False,930009.0,12,26,20,6,12,14,True,Geometry-only fixed random null direction,12,12,12,24,21,18,204,53,26
network_011,Core-periphery,False,930010.0,12,37,25,12,12,25,True,Geometry-only fixed random null direction,12,12,12,24,23,22,228,74,37
network_012,Modular,False,930011.0,12,30,20,10,12,18,True,Geometry-only fixed random null direction,12,12,12,24,23,21,168,53,30
network_013,Random,False,930012.0,12,34,25,9,12,22,True,Geometry-only fixed random null direction,12,12,12,24,22,21,180,64,34
network_014,Core-periphery,False,930013.0,12,47,29,18,12,35,True,Geometry-only fixed random null direction,12,12,12,24,23,23,360,99,47
network_015,Modular,False,930014.0,12,27,20,7,12,15,True,Geometry-only fixed random null direction,12,12,12,24,23,19,168,47,27
network_016,Random,False,930015.0,12,30,22,8,12,18,True,Geometry-only fixed random null direction,12,12,12,24,21,20,228,59,30
network_017,Core-periphery,False,930016.0,12,34,24,10,12,22,True,Geometry-only fixed random null direction,12,12,12,24,23,22,264,71,34
network_018,Modular,False,930017.0,12,26,19,7,12,14,True,Geometry-only fixed random null direction,12,12,12,24,23,19,132,43,25
network_019,Random,False,930018.0,12,28,23,5,12,16,True,Geometry-only fixed random null direction,12,12,12,24,19,17,144,52,28
network_020,Core-periphery,False,930019.0,12,36,24,12,12,24,True,Geometry-only fixed random null direction,12,12,12,24,21,21,240,70,36
network_021,Modular,False,930020.0,12,22,17,5,12,10,True,Geometry-only fixed random null direction,12,12,12,24,23,17,96,36,21
network_022,Random,False,930021.0,12,30,23,7,12,18,True,Geometry-only fixed random null direction,12,12,12,24,23,19,180,53,30
network_023,Core-periphery,False,930022.0,12,33,25,8,12,21,True,Geometry-only fixed random null direction,12,12,12,24,20,20,192,60,32
network_024,Modular,False,930023.0,12,23,18,5,12,11,True,Geometry-only fixed random null direction,12,12,12,24,19,17,144,41,23
network_025,Random,False,930024.0,12,29,22,7,12,17,True,Geometry-only fixed random null direction,12,12,12,24,24,19,180,53,29
network_026,Core-periphery,False,930025.0,12,44,28,16,12,32,True,Geometry-only fixed random null direction,12,12,12,24,24,23,300,89,44
network_027,Modular,False,930026.0,12,27,19,8,12,15,True,Geometry-only fixed random null direction,12,12,12,24,24,20,132,42,25
network_028,Random,False,930027.0,12,25,22,3,12,13,True,Geometry-only fixed random null direction,12,12,12,24,19,15,108,37,24
network_029,Core-periphery,False,930028.0,12,35,24,11,12,23,True,Geometry-only fixed random null direction,12,12,12,24,24,21,240,67,35
network_030,Modular,False,930029.0,12,35,23,12,12,23,True,Geometry-only fixed random null direction,12,12,12,24,24,22,216,65,35
network_031,Random,False,930030.0,12,27,21,6,12,15,True,Geometry-only fixed random null direction,12,12,12,24,21,17,168,47,26
network_032,Core-periphery,False,930031.0,12,25,20,5,12,13,True,Geometry-only fixed random null direction,12,12,12,24,17,17,144,44,25
network_033,Modular,False,930032.0,12,21,17,4,12,9,True,Geometry-only fixed random null direction,12,12,12,24,22,16,108,34,21
network_034,Random,False,930033.0,12,28,22,6,12,16,True,Geometry-only fixed random null direction,12,12,12,24,22,18,132,52,27
network_035,Core-periphery,False,930034.0,12,28,22,6,12,16,True,Geometry-only fixed random null direction,12,12,12,24,20,18,192,53,28
network_036,Modular,False,930035.0,12,28,20,8,12,16,True,Geometry-only fixed random null direction,12,12,12,24,24,20,96,44,27
network_037,Random,False,930036.0,12,29,22,7,12,17,True,Geometry-only fixed random null direction,12,12,12,24,23,19,192,52,29
network_038,Core-periphery,False,930037.0,12,35,25,10,12,23,True,Geometry-only fixed random null direction,12,12,12,24,23,22,216,69,35
network_039,Modular,False,930038.0,12,24,18,6,12,12,True,Geometry-only fixed random null direction,12,12,12,24,23,18,120,44,24
network_040,Random,False,930039.0,12,29,21,8,12,17,True,Geometry-only fixed random null direction,12,12,12,24,18,18,180,53,29
network_041,Core-periphery,False,930040.0,12,24,18,6,12,12,True,Geometry-only fixed random null direction,12,12,12,24,18,18,132,40,24
network_042,Modular,False,930041.0,12,34,23,11,12,22,True,Geometry-only fixed random null direction,12,12,12,24,24,22,192,66,34
network_043,Random,False,930042.0,12,20,18,2,12,8,True,Geometry-only fixed random null direction,12,12,12,24,16,14,108,30,19
network_044,Core-periphery,False,930043.0,12,28,21,7,12,16,True,Geometry-only fixed random null direction,12,12,12,24,21,18,168,54,28
network_045,Modular,False,930044.0,12,24,18,6,12,12,True,Geometry-only fixed random null direction,12,12,12,24,20,18,132,37,22
network_046,Random,False,930045.0,12,26,21,5,12,14,True,Geometry-only fixed random null direction,12,12,12,24,21,17,132,46,24
network_047,Core-periphery,False,930046.0,12,23,19,4,12,11,True,Geometry-only fixed random null direction,12,12,12,24,18,16,132,40,23
network_048,Modular,False,930047.0,12,30,20,10,12,18,True,Geometry-only fixed random null direction,12,12,12,24,24,22,96,44,27
network_049,Random,False,930048.0,12,27,22,5,12,15,True,Geometry-only fixed random null direction,12,12,12,24,20,17,156,48,27
network_050,Core-periphery,False,930049.0,12,33,24,9,12,21,True,Geometry-only fixed random null direction,12,12,12,24,21,19,216,56,32
network_051,Modular,False,930050.0,12,30,21,9,12,18,True,Geometry-only fixed random null direction,12,12,12,24,20,20,180,63,30
network_052,Random,False,930051.0,12,32,24,8,12,20,True,Geometry-only fixed random null direction,12,12,12,24,23,20,216,59,32
