network,state,group,members,mass
toy_0,1,0,AB,0.0
toy_0,1,1,AC,0.0
toy_0,1,2,BC,0.0
toy_0,1,3,ABC,1.0
toy_0,2,0,AB,0.3333333333333333
toy_0,2,1,AC,0.3333333333333333
toy_0,2,2,BC,0.3333333333333333
toy_0,2,3,ABC,0.0
toy_1,1,0,AB,0.0
toy_1,1,1,AC,0.0
toy_1,1,2,AD,0.0
toy_1,1,3,AE,0.0
toy_1,1,4,BC,0.0
toy_1,1,5,ABC,1.0
toy_1,2,0,AB,0.3333333333333333
toy_1,2,1,AC,0.3333333333333333
toy_1,2,2,AD,0.0
toy_1,2,3,AE,0.0
toy_1,2,4,BC,0.3333333333333333
toy_1,2,5,ABC,0.0
toy_2,1,0,AB,0.0
toy_2,1,1,AC,0.0
toy_2,1,2,BC,0.0
toy_2,1,3,BD,0.0
toy_2,1,4,CD,0.0
toy_2,1,5,ABC,1.0
toy_2,1,6,BCD,0.0
toy_2,2,0,AB,0.3333333333333333
toy_2,2,1,AC,0.3333333333333333
toy_2,2,2,BC,0.3333333333333333
toy_2,2,3,BD,0.0
toy_2,2,4,CD,0.0
toy_2,2,5,ABC,0.0
toy_2,2,6,BCD,0.0
