network,same_node_error,min_group_state,mass_difference,group_state_L1
toy_0,0.0,0.0,0.0,2.0
toy_1,0.0,0.0,0.0,2.0
toy_2,0.0,0.0,0.0,2.0
network_001,6.938893903907228e-17,0.0068965517241379275,1.1102230246251565e-16,0.530837896016459
network_002,5.551115123125783e-17,0.005882352941176474,0.0,0.6573581533527263
network_003,1.942890293094024e-16,0.008333333333333331,1.1102230246251565e-16,0.6467536714127213
network_004,1.1102230246251565e-16,0.005555555555555553,0.0,0.54120074781264
network_005,3.469446951953614e-16,0.0068965517241379275,7.771561172376096e-16,0.7162685886530579
network_006,2.7755575615628914e-17,0.006249999999999999,0.0,0.536243658038272
network_007,1.1102230246251565e-16,0.007407407407407404,0.0,0.5739110762014934
network_008,8.326672684688674e-17,0.007142857142857138,1.1102230246251565e-16,0.7056066500611446
network_009,8.326672684688674e-17,0.007142857142857142,1.1102230246251565e-16,0.6538596834453174
network_010,1.1102230246251565e-16,0.007692307692307693,3.3306690738754696e-16,0.5924061547919852
network_011,8.326672684688674e-17,0.005405405405405406,2.220446049250313e-16,0.6187003419916652
network_012,1.1102230246251565e-16,0.0066666666666666645,2.220446049250313e-16,0.8110564501655348
network_013,4.163336342344337e-17,0.0058823529411764705,0.0,0.5191652026651173
network_014,2.7755575615628914e-17,0.004255319148936169,1.1102230246251565e-16,0.5016496524395102
network_015,8.326672684688674e-17,0.007407407407407408,1.1102230246251565e-16,0.66536656377591
network_016,5.551115123125783e-17,0.006666666666666668,1.1102230246251565e-16,0.39840855032251576
network_017,5.551115123125783e-17,0.005882352941176467,0.0,0.5484679191718597
network_018,9.71445146547012e-17,0.007692307692307693,3.3306690738754696e-16,0.4694638991703876
network_019,2.7755575615628914e-17,0.007142857142857138,1.1102230246251565e-16,0.4993951830101996
network_020,5.551115123125783e-17,0.005555555555555553,1.1102230246251565e-16,0.623907826812847
network_021,1.1102230246251565e-16,0.009090909090909087,1.1102230246251565e-16,0.5956954786706846
network_022,9.71445146547012e-17,0.0066666666666666645,1.1102230246251565e-16,0.6862404072606414
network_023,3.608224830031759e-16,0.0060606060606060615,4.440892098500626e-16,0.6516934578539986
network_024,6.938893903907228e-17,0.008695652173913042,2.220446049250313e-16,0.5585380317415554
network_025,5.551115123125783e-17,0.006896551724137924,1.1102230246251565e-16,0.5323504456163529
